Topic_Folder,Source_File,Sentence,Extracted_Aspects,Sentiment,Confidence_Score
Algorithms,V1B21E_algorithms.txt,"It felt like there were, I think, maybe twice where I was with a group, but then it was a computer suggested song and that was just kind of sad because I felt like a waste of an opportunity.","it, i, i, a group, it, a computer, that, i, a waste, an opportunity",Negative,0.899
Algorithms,V1B21E_algorithms.txt,The computer suggested songs made sense given the other songs that I had heard.,"the computer, songs, sense, the other songs, that, i",Positive,0.5057
Algorithms,V1B21E_algorithms.txt,"They were kind of just like, here's a guitar and people singing.","they, a guitar, people",Neutral,0.7709
Algorithms,V1B21E_algorithms.txt,"So I was like, it makes sense, but it wasn't as good as the other songs.","i, it, sense, it, the other songs",Negative,0.7225
Algorithms,V1B21E_algorithms.txt,It was definitely the same genre.,"it, the same genre",Neutral,0.808
Algorithms,V1B21E_algorithms.txt,Okay.,No clear aspect,Neutral,0.5844
Algorithms,V1B21E_algorithms.txt,But like the other spectrum of the genre where like I don't really listen to that side of it that much.,"the other spectrum, the genre, i, that side, it",Neutral,0.4949
Algorithms,V1B21E_algorithms.txt,"So I don't know how to really describe that, just as not quite the same.","i, that",Negative,0.8073
Algorithms,V1B21E_algorithms.txt,"Yeah, I felt, so the genre overhaul I think would be kind of described as like folk, but that one led more into I don't know if I would describe it as like Country Sorrow, but I don't remember if it was actually like a happy or sad song, but it had more of that like, you would hear it on the radio and it would just kind of be on.","i, the genre overhaul, i, folk, that one, i, i, it, country sorrow, i, it, a happy or sad song, it, that, you, it, the radio, it",Neutral,0.7107
Algorithms,V1B21E_algorithms.txt,Yeah.,No clear aspect,Neutral,0.5491
Algorithms,V1B21E_algorithms.txt,I don't really know.,i,Neutral,0.6497
Algorithms,V1B21E_algorithms.txt,"Okay, yeah.",No clear aspect,Neutral,0.6096
Algorithms,V1B21E_algorithms.txt,A lot less involved in like musically diverse.,No clear aspect,Neutral,0.5959
Algorithms,V1B21E_algorithms.txt,"It was more generic, I suppose.","it, i",Neutral,0.5549
Algorithms,V1B21E_algorithms.txt,So I think like people find the more interesting songs and better than the computer tends to.,"i, people, the more interesting songs, the computer",Positive,0.7805
Algorithms,V1B21E_algorithms.txt,"Because I can't listen to it, it's just kind of making assumptions.","i, it, it, assumptions",Negative,0.9416
Algorithms,V1B21E_algorithms.txt,"But with the computer ones, it was kind of just like the passing by tune.","the computer ones, it, the passing, tune",Neutral,0.8264
Algorithms,V1B21E_algorithms.txt,Like I would never go listen to it again forcefully.,"i, it",Negative,0.9299
Algorithms,V1B21E_algorithms.txt,So Sometimes I'll try algorithms.,"i, algorithms",Neutral,0.7813
Algorithms,V1B21E_algorithms.txt,"I use Amazon Music, but their AI sucks.","i, amazon music, their ai",Negative,0.9576
Algorithms,V1B21E_algorithms.txt,"So I have Spotify specifically to like find songs occasionally when I'm in the mood, because it has ads and I like that.","i, songs, i, the mood, it, ads, i, that",Positive,0.8696
Algorithms,V1B21E_algorithms.txt,"I find the most success by whenever I'm hanging out with my friends and they're playing music, which is not super often, but when it happens, usually there's a song that I really like","i, the most success, i, my friends, they, music, which, it, a song, that, i",Positive,0.9762
Algorithms,V1B21E_algorithms.txt,and then I'll just kind of dive through the artist and explore their stuff.,"i, the artist, their stuff",Neutral,0.6727
Algorithms,V1B21E_algorithms.txt,And then you can see what playlists and usually that and other stuff.,"you, what",Neutral,0.8711
Algorithms,V1B21E_algorithms.txt,I kind of just like follow trails of what people find interesting.,"i, trails, what, people",Positive,0.8157
Algorithms,PUN5JW_algorithms.txt,Spotify does like the the like day lists or makes playlists for you.,"the the like day lists, playlists, you",Positive,0.7656
Algorithms,PUN5JW_algorithms.txt,So probably that too.,No clear aspect,Neutral,0.7801
Algorithms,VD1PLG_algorithms.txt,"Usually I would like just whatever song I like, I'll go to the artist and go through it.","i, just whatever song, i, i, the artist, it",Positive,0.5029
Algorithms,VD1PLG_algorithms.txt,"But recently I've been trying like just telling the, I use Spotify and they have the AI DJ.","i, the, i, spotify, they, the ai dj",Neutral,0.7261
Algorithms,VD1PLG_algorithms.txt,"So I've been just telling it, like I've been into Pharrell's like production, like with the band Nerd.","i, it, i, pharrell, production, the band nerd",Neutral,0.829
Algorithms,VD1PLG_algorithms.txt,"So I just asked them, I'm like, hey, like I want, I want to hear something like produced by Pharrell or Nerd.","i, them, i, i, i, something, pharrell, nerd",Neutral,0.7395
Algorithms,VD1PLG_algorithms.txt,And I'll like find some really cool songs that way.,"i, some really cool songs",Positive,0.9402
Algorithms,VD1PLG_algorithms.txt,"And I was like, I've been just using the, I've been trying to test out the like DJ AI thing","i, i, the, i, the like dj ai thing",Neutral,0.8685
Algorithms,VD1PLG_algorithms.txt,"and it's been pretty, pretty good.",it,Positive,0.9752
Algorithms,VD1PLG_algorithms.txt,I've been finding really cool songs.,"i, really cool songs",Positive,0.979
Algorithms,IQLWA6_algorithms.txt,Yeah.,No clear aspect,Neutral,0.5491
Algorithms,IQLWA6_algorithms.txt,"if they had come up on my music recommendations, I probably would have stayed to listen.","they, my music recommendations, i",Positive,0.6255
Algorithms,IQLWA6_algorithms.txt,"Yeah, definitely.",No clear aspect,Positive,0.5906
Algorithms,IQLWA6_algorithms.txt,"And so they'll give me something, but it is kind of hard to find new music.","they, me, something, it, new music",Neutral,0.5181
Algorithms,IQLWA6_algorithms.txt,"I think, because I don't use YouTube, I use Spotify A lot.","i, i, youtube, i",Neutral,0.5765
Algorithms,IQLWA6_algorithms.txt,And the only way to really get new music is to search something up and then let it be random.,"the only way, new music, something, it",Neutral,0.5802
Algorithms,IQLWA6_algorithms.txt,"But even then, sometimes I feel like it doesn't give me what I want, so I just give up and listen to it, I know.","i, it, me, what, i, i, it, i",Negative,0.5907
Algorithms,W5T7LB_algorithms.txt,"For the computer ones, I didn't really like them.","the computer ones, i, them",Negative,0.9106
Algorithms,W5T7LB_algorithms.txt,"Like it was like close though, I was like, I could see how like maybe an algorithm would think that like I would like this or like if I'm comparing it to like the other songs that I heard from like the other participants and like I could see how it could be like recommended, I guess.","it, i, i, an algorithm, i, this, i, it, the other songs, that, i, the other participants, i, it, i",Neutral,0.8269
Algorithms,W5T7LB_algorithms.txt,"But it was like, something was like off, and it just wasn't something that I like would naturally gravitate towards right now.","it, something, it, something, that, i",Negative,0.6749
Algorithms,W5T7LB_algorithms.txt,"But I kind of also realized during it that like context is really important for me, I like to know like what else the artist does, how long they've been making music, when the song came out, like all those kinds of things kind of play a role in like my enjoyment of a song.","i, it, context, me, i, what, the artist, they, music, the song, all those kinds, things, a role, my enjoyment, a song",Neutral,0.6542
Algorithms,W5T7LB_algorithms.txt,"I really, realized during that.","i, that",Neutral,0.6157
Algorithms,W5T7LB_algorithms.txt,"so maybe if I knew more about the artist or heard other songs by the artist, then I would enjoy those ones more.","i, the artist, other songs, the artist, i, those ones",Positive,0.6763
Algorithms,W5T7LB_algorithms.txt,"But for just listening to it, I wasn't a huge fan of the ones that were like recommended.","it, i, a huge fan, the ones, that",Negative,0.7854
Algorithms,W5T7LB_algorithms.txt,"I'm like, the Spotify algorithm always gets me too, you know, like I'm always getting like, I listen to the day list, I listen to like, I don't know, I'll do the thing where I like search a song and click on it, and then it'll just play like whatever's recommended after that.","i, the spotify algorithm, me, you, i, i, the day list, i, i, i, the thing, i, a song, it, it, whatever, that",Neutral,0.5587
Algorithms,W5T7LB_algorithms.txt,"Those are ways that I tend to like find new artists, I guess.","those, ways, that, i, new artists, i",Positive,0.7509
Algorithms,QNJQ2F_algorithms.txt,"I think the ones suggested by the computer were more accurate to what I would listen to than I thought it would be, if that was what the goal was.","i, the ones, the computer, what, i, i, it, that, what, the goal",Neutral,0.6094
Algorithms,QNJQ2F_algorithms.txt,"I didn't know any of them, but they were, I liked them.","i, any, them, they, i, them",Positive,0.8526
Algorithms,MH2DWX_algorithms.txt,"I guess sort of like at random, if that makes sense.","i, that, sense",Neutral,0.8405
Algorithms,MH2DWX_algorithms.txt,Some of my favorite songs are just ones that I found purely by chance.,"some, my favorite songs, just ones, that, i, chance",Positive,0.9508
Algorithms,MH2DWX_algorithms.txt,Like I think one of them I found just like scrolling YouTube,"i, them, i, youtube",Neutral,0.7728
Algorithms,MH2DWX_algorithms.txt,"and I was like, oh, that music video looks really good.","i, that music video",Positive,0.9877
Algorithms,MH2DWX_algorithms.txt,Became one of my favorite songs.,my favorite songs,Positive,0.9695
Algorithms,MH2DWX_algorithms.txt,Some of them are like suggestions.,"some, them, suggestions",Neutral,0.7269
